City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Hurghada,EG,2021-11-25 04:32:20,27.2574,33.8129,64.44,36,0,11.5
97,Fortuna,US,2021-11-25 04:32:21,40.5982,-124.1573,43.14,64,1,10.36
98,Arraial Do Cabo,BR,2021-11-25 04:32:21,-22.9661,-42.0278,72.07,79,8,7.38
99,Aripuana,BR,2021-11-25 04:32:21,-9.1667,-60.6333,72.3,100,100,1.39
100,Mackay,AU,2021-11-25 04:32:22,-21.15,149.2,80.58,78,90,6.91
101,Longyearbyen,SJ,2021-11-25 04:32:22,78.2186,15.6401,4.84,78,40,1.14
102,Port Alfred,ZA,2021-11-25 04:32:23,-33.5906,26.891,62.4,73,79,13.71
103,Lodingen,NO,2021-11-25 04:32:23,68.414,15.9951,28.44,61,100,5.01
104,Rockport,US,2021-11-25 04:32:24,28.0206,-97.0544,77.02,81,90,3.0
105,Magnor,SE,2021-11-25 04:32:24,59.9511,12.1996,37.13,91,12,3.67
106,Norman Wells,CA,2021-11-25 04:32:24,65.282,-126.8329,-20.16,69,75,3.44
107,Evensk,RU,2021-11-25 04:32:25,61.95,159.2333,1.49,90,81,6.53
108,Geraldton,AU,2021-11-25 04:31:14,-28.7667,114.6,97.21,14,0,11.5
109,Jamestown,US,2021-11-25 04:28:46,42.097,-79.2353,44.71,52,90,12.66
110,Hokitika,NZ,2021-11-25 04:32:26,-42.7167,170.9667,60.78,72,42,7.4
111,Necochea,AR,2021-11-25 04:30:04,-38.5473,-58.7368,65.03,85,100,6.55
112,Olafsvik,IS,2021-11-25 04:32:27,64.8945,-23.7142,42.1,81,100,24.52
113,Esperance,AU,2021-11-25 04:32:27,-33.8667,121.9,71.44,61,86,12.01
114,Raton,US,2021-11-25 04:32:28,36.9034,-104.4391,32.61,64,90,18.41
115,Ponta Do Sol,PT,2021-11-25 04:32:28,32.6667,-17.1,65.71,59,99,9.62
116,Bayir,TR,2021-11-25 04:32:29,37.2687,28.2167,49.03,91,44,2.89
117,Santa Fe,AR,2021-11-25 04:30:07,-31.6333,-60.7,69.96,74,48,7.23
118,Torbay,CA,2021-11-25 04:32:29,47.6666,-52.7314,47.28,98,90,16.11
119,Hukuntsi,BW,2021-11-25 04:32:30,-24.0,21.75,73.63,27,0,10.58
120,Manali,IN,2021-11-25 04:32:30,13.1667,80.2667,84.29,92,98,15.77
121,Katsuura,JP,2021-11-25 04:32:31,35.1333,140.3,64.51,57,0,24.9
122,Yining,CN,2021-11-25 04:32:31,29.0361,114.5636,66.83,31,0,1.14
123,Cap Malheureux,MU,2021-11-25 04:31:06,-19.9842,57.6142,81.09,64,9,8.99
124,Kiama,AU,2021-11-25 04:32:31,-34.6833,150.8667,75.25,82,100,8.01
125,Verkhoyansk,RU,2021-11-25 04:29:41,67.5447,133.385,-34.11,98,97,1.23
126,Sanming,CN,2021-11-25 04:32:32,26.2486,117.6186,67.51,43,100,3.44
127,Tecoanapa,MX,2021-11-25 04:32:33,16.5167,-98.75,76.96,87,3,4.9
128,Aksha,RU,2021-11-25 04:32:33,50.2814,113.2867,25.23,65,69,9.28
129,Dikson,RU,2021-11-25 04:32:33,73.5069,80.5464,5.67,87,100,9.24
130,Marquette,US,2021-11-25 04:32:34,46.5333,-87.6335,36.36,86,100,11.83
131,Kerema,PG,2021-11-25 04:32:34,-7.9631,145.7785,84.33,74,98,7.11
132,Tacoronte,ES,2021-11-25 04:32:35,28.4769,-16.4102,64.26,88,90,7.0
133,Agadez,NE,2021-11-25 04:32:35,19.75,10.25,70.43,21,0,7.52
134,Vilyuysk,RU,2021-11-25 04:32:35,63.7553,121.6247,-2.7,85,100,6.15
135,Vila,PT,2021-11-25 04:32:36,42.0304,-8.1588,38.32,89,100,1.01
